Gene,RB01,RB02,RB03,RB04,RB05,RB06,RB07,RB08,RB09,RB10,RB11,RB12,RB13,RB14,RB15,RB16,RB17
Eri1,626,225,386,659,700,683,642,936,186,301,171,265,262,231,162,256,337
Gm16793,6,2,3,0,4,2,5,7,0,2,2,0,0,3,3,2,1
Mfhas1,428,144,201,464,483,533,386,575,139,230,110,185,156,155,116,190,200
Cldn23,210,77,131,173,178,172,119,179,27,62,38,35,46,58,40,44,72
5430403N17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D8Ertd82e,124,53,67,165,143,137,134,115,36,61,25,44,47,52,38,29,50
Lonrf1,438,155,223,384,369,486,370,635,125,215,148,210,177,164,108,168,216
6430573F11Rik,219,78,108,201,172,222,174,269,49,115,67,137,115,74,45,107,102
Dlc1,640,337,290,849,744,794,615,840,216,319,232,331,259,286,175,319,396
G630064G18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI429214,207,77,93,156,173,223,144,185,43,71,46,76,92,52,50,75,96
Sgcz,97,50,66,87,64,135,112,153,32,82,65,69,74,61,34,61,66
Mir383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tusc3,3599,1292,1706,3044,3586,3876,2837,4579,847,1804,1116,1608,1745,1184,896,1303,1766
Gm6213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir669e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msr1,150,70,50,119,109,130,110,157,53,64,40,77,74,65,46,76,77
Fgf20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Mir7666,16,3,5,7,7,21,5,5,1,2,0,5,6,3,2,0,0
Micu3,991,349,636,786,902,955,895,1215,277,543,324,458,449,412,255,432,425
Zdhhc2,4957,1779,2772,4042,4336,5463,4816,6704,1957,4241,2563,3482,2611,2117,1613,3461,2520
Cnot7,3012,875,1519,2274,2538,2928,2621,3691,816,1566,1034,1501,1376,1090,708,1185,1420
Vps37a,4745,1607,2539,3788,3918,5163,4367,6344,1256,2667,1641,2209,2024,1705,1104,2251,1944
Mtmr7,5032,1859,2521,4353,4841,5627,4171,6808,1338,2810,1665,2326,2450,1745,1279,2402,2322
Adam24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Adam25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc7a2,9890,3306,4652,8085,8531,12491,9019,15567,1832,5214,2807,3999,3656,2588,2030,3036,3186
Pdgfrl,517,222,258,446,551,619,471,782,126,341,171,258,248,175,103,249,260
Mtus1,2543,1012,1390,2667,2818,3254,2467,4134,728,1395,880,1198,1097,934,719,1150,1456
B430010I23Rik,0,0,1,2,0,2,0,2,0,0,0,1,0,1,1,0,0
Fgl1,119,46,65,178,153,143,110,115,36,35,24,45,30,32,24,36,71
Pcm1,4234,1431,2431,3685,3626,4842,4224,6407,1252,2400,1486,2004,1853,1641,1232,1623,2117
Asah1,9290,3070,5132,7820,9035,10130,7902,12595,1982,4089,2829,3856,4040,3008,2396,3045,3903
Frg1,905,367,500,931,1117,1118,919,1431,227,423,284,412,431,366,244,417,552
2810404M03Rik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1
Triml1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triml2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam26b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam26a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fat1,1736,703,990,2326,1981,2746,1635,3626,429,878,469,640,803,586,471,732,1003
AY512931,15,3,8,14,20,17,11,22,2,11,7,13,7,5,9,1,15
Mtnr1a,5,0,0,2,5,1,0,3,0,4,0,1,5,0,1,0,0
Gm6329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,1,0,1,1,1,1,1,4,0,0,0,0,0,0,2,1,1
Klkb1,15,7,5,15,21,17,9,26,4,3,7,7,7,4,0,0,8
Cyp4v3,2554,990,1349,2322,2962,2937,2381,3828,644,1470,931,1293,1264,933,736,1115,1352
Fam149a,1158,469,587,1168,1203,1242,1024,1571,259,485,331,424,487,332,296,420,579
Tlr3,449,159,242,412,330,430,416,553,169,250,162,212,232,183,136,203,287
Sorbs2,5747,2097,2930,5300,5826,6256,5106,7672,1866,3204,2001,2934,2789,2364,1589,2683,2976
Sorbs2os,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pdlim3,17,6,5,20,12,24,16,22,10,9,3,1,10,5,9,9,8
Ccdc110,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1700029J07Rik,261,103,157,253,221,363,291,472,89,160,128,148,139,82,74,127,150
Ufsp2,4062,1443,2051,3571,4232,4379,3458,5065,867,1569,1035,1543,1660,1199,821,1209,1973
Ankrd37,221,82,194,578,366,336,199,293,138,173,121,173,154,122,91,116,329
Lrp2bp,63,13,42,75,53,57,54,76,22,37,23,27,32,28,20,19,28
Snx25,1853,688,905,1843,1940,2122,1685,2556,531,1102,679,961,903,676,552,979,954
Cfap97,1816,580,856,1369,1524,1784,1631,2260,481,956,589,826,783,586,390,772,824
Slc25a4,7876,3165,3723,7546,8424,8344,5738,9927,1651,3863,2123,3244,3270,2494,1917,2618,3291
Helt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsl1,1061,400,600,934,977,1094,886,1357,299,628,350,497,489,434,307,479,564
Cenpu,22,10,9,23,22,21,19,44,3,5,7,10,7,5,4,7,4
Primpol,310,91,134,265,252,285,265,324,73,169,98,129,126,91,60,118,115
Casp3,593,190,334,582,660,652,487,812,141,348,175,307,257,230,159,294,313
Gm16675,35,18,24,52,37,51,23,69,11,16,10,12,10,15,7,13,15
Irf2,1219,493,527,1257,1295,1477,1093,1744,389,748,390,639,544,423,314,587,616
Enpp6,29,15,10,30,23,41,31,23,12,22,32,23,22,21,13,12,19
Stox2,1465,540,740,1339,1481,1737,1307,2228,375,719,408,589,612,475,362,572,660
Trappc11,5181,1948,2625,4487,4995,5745,4463,7252,1151,2421,1448,2062,2152,1672,1160,1634,2292
Rwdd4a,3711,1342,1949,3387,3927,4107,2970,4914,663,1367,873,1176,1455,1028,706,1135,1509
Ing2,1155,462,611,1102,1321,1529,953,1705,243,514,321,423,468,358,292,510,589
Cdkn2aip,850,309,396,754,885,948,690,1148,218,424,266,368,375,310,196,328,388
Cldn24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cldn22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wwc2,237,124,117,347,316,313,224,334,60,143,67,103,108,104,50,108,133
Dctd,49,19,26,43,72,75,43,61,7,17,11,16,12,13,7,10,11
Tenm3,2389,1013,1181,2060,1974,3086,1977,3789,703,1741,913,1350,1160,974,754,1233,1032
Gm2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aga,4235,1439,2034,3331,3930,3919,3217,4944,835,1857,1137,1573,1706,1344,990,1080,1924
Neil3,16,7,6,18,19,8,9,11,4,8,8,5,4,7,3,1,13
Vegfc,81,30,43,94,96,115,51,86,19,45,27,45,42,22,28,39,33
Spcs3,15333,4688,8126,10148,12819,13508,11498,16624,2778,5279,3885,5575,5647,4797,3036,4056,5412
Asb5,41,22,23,33,42,46,33,64,7,17,14,12,18,18,7,8,10
Spata4,1,0,0,0,2,5,3,2,0,0,0,0,3,0,0,2,2
Wdr17,124,34,66,116,89,98,118,161,33,59,45,58,50,49,29,45,57
Gpm6a,191,65,71,170,214,157,176,259,39,84,35,63,71,55,32,53,73
Adam29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glra3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hpgd,18,11,6,7,21,26,16,21,4,8,6,5,12,3,8,15,4
4930518J21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cep44,309,130,164,258,326,365,329,456,70,161,112,153,156,101,73,110,165
Fbxo8,1094,415,572,1050,1046,1204,998,1415,313,693,403,597,507,406,318,497,558
LOC102636514,4,4,1,10,4,6,6,3,0,0,0,0,2,3,0,0,4
Hand2,36,17,14,78,45,41,34,25,4,10,6,11,7,19,8,26,12
5033428I22Rik,1,0,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0
Scrg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sap30,197,63,96,268,256,250,169,293,70,116,76,101,113,83,43,63,120
2500002B13Rik,37,16,17,33,46,60,47,44,19,29,14,23,17,10,14,23,38
Hmgb2,297,139,179,302,283,418,289,490,76,179,91,129,131,119,89,142,138
Galnt7,755,247,358,828,920,933,737,1123,242,425,256,383,344,295,185,460,405
AW046200,8,3,4,2,5,8,7,13,0,4,2,2,0,1,2,1,3
Galntl6,5,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,2
Gm15881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC030500,2,1,1,1,1,0,3,0,0,0,0,0,1,1,0,0,0
4930470O06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,12,2,1,6,12,11,7,16,2,12,5,9,11,7,0,12,9
Mfap3l,224,75,161,219,253,197,211,269,75,73,72,98,117,115,57,69,122
2700029M09Rik,741,229,402,728,769,839,724,1006,192,349,221,298,321,246,208,291,349
Clcn3,5062,1745,2984,4725,5192,5697,4561,6959,1642,2864,1779,2576,2451,1993,1440,2213,2838
Nek1,923,326,530,818,982,1122,847,1415,267,468,283,398,396,306,241,378,492
Sh3rf1,567,220,286,670,752,712,507,844,163,301,150,239,245,195,120,261,295
1700001D01Rik,2,0,2,3,6,7,1,8,0,1,0,1,1,0,0,1,1
Cbr4,390,156,215,311,317,413,305,468,90,226,162,197,158,132,106,168,145
Palld,169,74,82,225,210,227,118,220,38,48,29,43,55,71,24,25,98
Ddx60,335,102,208,534,368,393,411,485,196,331,183,250,161,188,115,230,368
Anxa10,26,10,28,34,49,44,27,23,5,1,3,5,12,6,12,5,18
Spock3,162,44,70,148,159,141,160,168,16,28,20,39,50,46,23,33,50
Sgol2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tll1,19,2,4,4,10,10,11,16,4,3,2,8,3,2,2,13,7
Mir710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpe,142033,53094,76334,127977,145441,156865,122756,202319,35460,72241,46083,65666,68026,50286,37639,48622,74131
Msmo1,4175,1489,1887,3670,4508,4128,3586,5321,717,1271,967,1341,1593,1073,892,1126,1580
Klhl2,1437,486,649,1320,1497,1509,1109,1777,354,656,411,625,639,469,354,489,712
Tmem192,846,327,450,753,896,883,682,1040,240,490,264,426,371,302,230,296,432
Trim75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC030870,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
44256,35,11,23,39,35,24,34,50,13,18,16,11,16,13,8,22,13
Tma16,138,48,86,155,155,194,150,205,38,77,42,56,66,45,34,40,64
Tktl2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npy5r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npy1r,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1
Naf1,364,104,216,330,375,396,335,444,124,174,131,173,152,142,99,123,212
Nat1,11,4,10,12,22,13,16,14,7,4,8,8,8,1,0,3,1
Nat2,153,40,54,123,112,146,95,140,34,60,37,49,72,55,24,44,65
Nat3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psd3,1604,607,850,1357,1344,1821,1378,2493,445,921,527,814,712,588,417,768,696
