"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MRFAP1",8.26763672457291e-14,0.400669143078951,0.891,0.844,5.06152987915078e-09
"MAGED2",8.30048529842009e-14,0.480397199121944,0.892,0.791,5.08164010454577e-09
"SERF2",9.14038812588394e-14,-0.415409909503586,0.992,0.991,5.59583701454741e-09
"TMEM59",9.78465959328877e-14,0.403620105967699,0.995,0.987,5.99026644960732e-09
"ARL6IP1",1.00051256235861e-13,0.323747198596835,0.854,0.68,6.12523795801567e-09
"RAP1B",1.02573029786523e-13,0.373614338604702,0.8,0.613,6.27962345656072e-09
"RPL26",1.15088378992513e-13,-0.258405152605064,0.845,0.942,7.04582565030066e-09
"CLPTM1",1.29067380454859e-13,0.311563277718744,0.555,0.284,7.90163409882693e-09
"SERINC1",1.31860108666585e-13,0.352982488138414,0.979,0.884,8.072607712677e-09
"CHMP2B",1.38251890750482e-13,0.410329715689501,0.785,0.582,8.46391900363527e-09
"GPX4",1.67789254555493e-13,0.33492843415023,0.978,0.929,1.02722259531419e-08
"CYB5R1",1.74336606985888e-13,0.438098820734362,0.638,0.396,1.06730614162831e-08
"TMEM38B",1.74810021783425e-13,0.295587268250779,0.554,0.302,1.0702044343603e-08
"C22orf42",2.73286733392348e-13,0.920211946215844,0.641,0.462,1.67308871050129e-08
"BCAS2",3.49386852916572e-13,0.51144840249516,0.769,0.604,2.13898125224055e-08
"SAMD12",3.81800443199683e-13,-0.338673409774733,0.423,0.698,2.33742049331278e-08
"ANKRD36C",3.88230923356669e-13,-0.374747663217857,0.495,0.729,2.37678853588186e-08
"RUNX1T1",4.16675853652315e-13,-0.56085106403603,0.474,0.653,2.55093124364484e-08
"ATP5F1A",4.18312025087982e-13,0.396520823225051,0.972,0.947,2.56094804879113e-08
"REEP3",4.21300326768247e-13,-0.527621136933079,0.505,0.72,2.57924273050788e-08
"CDC42",4.61097331450543e-13,0.486445493167789,0.938,0.911,2.82288397287337e-08
"PRICKLE2",4.77373744254608e-13,-0.284456227502838,0.102,0.289,2.92252979970114e-08
"OSCP1",4.95000325012181e-13,0.428578895758897,0.43,0.182,3.03044148975707e-08
"FTX",5.36935525075879e-13,-0.605878286272259,0.467,0.702,3.28717297806704e-08
"TSPYL2",5.46823967675124e-13,0.376715291047671,0.73,0.511,3.34771101250388e-08
"BSG",7.30691077789522e-13,0.353301204523792,0.913,0.809,4.47336384733523e-08
"STMN2",7.94233384375565e-13,-0.483450297310594,0.54,0.791,4.86237620248565e-08
"HMGN1",8.30199211361945e-13,0.390891620051608,0.891,0.867,5.08256259187896e-08
"OAZ2",9.2972176220667e-13,0.514988841750568,0.716,0.547,5.69184960040545e-08
"NDUFB3",9.47846709296626e-13,-0.302196070826867,0.723,0.876,5.80281233898487e-08
"SNRPB",1.03868667281386e-12,0.287015977348937,0.759,0.578,6.35894367963376e-08
"DDX17",1.07333457377547e-12,-0.504161739968779,0.69,0.867,6.57106159411079e-08
"RTN3",1.13070162888026e-12,0.389697261669109,0.909,0.867,6.92226844216782e-08
"PDLIM1",1.16422565218563e-12,0.357239359529879,0.707,0.516,7.12750586524567e-08
"CSRP1",1.28314435038248e-12,0.430979078244168,0.686,0.511,7.85553802747657e-08
"TAF7",1.33757890949e-12,0.398490973462652,0.89,0.809,8.18879184178875e-08
"TUBB2A",1.5364284306276e-12,0.250321450868343,0.598,0.356,9.40616849514522e-08
"SMPDL3A",1.7235446435908e-12,0.435869010294321,0.551,0.324,1.05517126625272e-07
"TIAL1",1.82064553205689e-12,-0.730517235060231,0.632,0.782,1.11461740118055e-07
"ERLEC1",1.84990003044661e-12,0.372979875920905,0.932,0.831,1.13252729763972e-07
"CLIC1",1.94183248147903e-12,0.434559526749849,0.874,0.742,1.18880926348627e-07
"ACTB",2.02348842842717e-12,0.525933844929727,0.997,0.978,1.2387998507674e-07
"VKORC1",2.24297274998804e-12,-0.307138653593783,0.801,0.898,1.37317034727018e-07
"BZW1",2.90301893797983e-12,0.349061504646621,0.8,0.676,1.77725722402063e-07
"UBE2L3",3.54756336170938e-12,0.284816873272097,0.901,0.804,2.1718537656721e-07
"P4HTM",3.86403363613018e-12,0.501412603562492,0.753,0.609,2.36560003237526e-07
"PCSK1N",3.95891672781232e-12,0.326048660013452,0.983,0.964,2.42368840993398e-07
"TECR",4.05395006348045e-12,0.306683348651327,0.844,0.698,2.48186876836337e-07
"DGKB",4.21158531445736e-12,-0.289679522730004,0.137,0.333,2.57837464536394e-07
"HHATL",4.54982385165649e-12,0.269001921857293,0.26,0.053,2.78544766022262e-07
"ADAM10",4.74679617730359e-12,-0.430433280987416,0.429,0.658,2.90603608770703e-07
"MAP2K3",4.97033867467773e-12,0.353854776642136,0.546,0.32,3.04289104002446e-07
"HOPX",5.11322811811386e-12,0.402381855806063,0.738,0.524,3.13036938619048e-07
"NDUFC2",5.26376750532178e-12,-0.253077505650667,0.878,0.964,3.22253110443305e-07
"RAB2A",5.32669389127267e-12,0.320271276527503,0.94,0.907,3.26105526717604e-07
"UBA6",5.33087323692155e-12,-0.747790903042292,0.464,0.667,3.26361390437574e-07
"EI24",5.72467616299626e-12,0.475003085603907,0.8,0.72,3.50470399374794e-07
"S100A6",6.09328034103507e-12,-0.809084847668608,0.828,0.889,3.73036715758508e-07
"C7orf50",6.14460632583216e-12,0.320354463755457,0.655,0.484,3.76178943873771e-07
"OCIAD2",6.37885574458653e-12,0.30022580833288,0.933,0.862,3.90519927539332e-07
"SOX5",6.70470205745837e-12,-0.345205954101831,0.177,0.382,4.10468564659659e-07
"DDIT3",7.63807667153832e-12,0.458966025126847,0.8,0.582,4.67610691908247e-07
"PCP4",8.4572469307026e-12,0.411119098898532,0.818,0.604,5.17761114344544e-07
"RCAN2",8.48756238782225e-12,0.359628918029137,0.609,0.378,5.19617056944866e-07
"H3F3B",9.33889895555557e-12,0.449038740185933,0.991,0.987,5.71736732958068e-07
"PSMD12",9.48646462869237e-12,0.390899745211921,0.844,0.684,5.80770851033176e-07
"CRY2",9.55658618902484e-12,0.376683314312556,0.538,0.324,5.8506376307829e-07
"HSP90B1",1.00369832221796e-11,0.277206448292469,0.982,0.96,6.14474149845056e-07
"PRMT1",1.02727505055904e-11,0.288898994619252,0.659,0.489,6.28908058702749e-07
"TPD52",1.08386118384888e-11,0.296701457109532,0.96,0.871,6.63550655364126e-07
"SLC25A4",1.11268867012816e-11,0.34597707749761,0.78,0.636,6.8119913073916e-07
"RPS27L",1.15969269501465e-11,-0.453118368715019,0.737,0.92,7.0997546481492e-07
"CRY1",1.43496622528354e-11,0.264472421248231,0.574,0.329,8.78500672780837e-07
"GLCCI1",1.46500727897314e-11,-0.280016302367971,0.192,0.4,8.96892106260144e-07
"PEBP1",1.76956458148077e-11,0.399909061154295,0.987,0.982,1.08334513242834e-06
"DSTN",1.81476120398623e-11,0.257273649251804,0.994,0.996,1.11101495669241e-06
"SARS",1.86544732234245e-11,0.439100314033505,0.905,0.862,1.14204550521127e-06
"SLC29A1",1.88102611456379e-11,0.488586786934979,0.748,0.627,1.1515829975971e-06
"CPE",1.95375364276961e-11,0.503253206666423,0.997,1,1.19610751763998e-06
"PER2",2.0080371385045e-11,0.53891908547842,0.734,0.578,1.22934041656384e-06
"YWHAZ",2.0597333007299e-11,0.332610979052883,0.976,0.947,1.26098932403985e-06
"IRS2",2.1237296627097e-11,0.346575460334713,0.671,0.484,1.30016853680751e-06
"BCL7B",2.17411370383701e-11,0.366858940451122,0.583,0.369,1.33101415062605e-06
"PIFO",2.21058081574268e-11,0.305877357562497,0.362,0.138,1.35333968120583e-06
"TTC14",2.34583127549856e-11,-0.329578653859166,0.272,0.516,1.43614136517297e-06
"EIF1B",2.44773811666607e-11,0.418889976777166,0.906,0.831,1.49852975240414e-06
"CD82",2.45153932208005e-11,0.356248537544671,0.453,0.24,1.50085688837063e-06
"KIAA1324",2.66339841624881e-11,0.375203398747818,0.963,0.929,1.63055914441169e-06
"TOB1",2.75106425639541e-11,-0.846925053311677,0.643,0.747,1.68422904840783e-06
"HSPA9",2.90265242218795e-11,0.335365228481546,0.926,0.84,1.77703283938769e-06
"CEP126",3.89799287458450e-11,-0.276873897636259,0.415,0.64,2.38639021774938e-06
"CPSF2",3.95679896488672e-11,-0.277237522444125,0.354,0.609,2.4223918942933e-06
"FRYL",4.04512483542345e-11,-0.316725791157921,0.345,0.582,2.47646587549459e-06
"HSPA13",4.34977371419096e-11,0.368710393872888,0.737,0.529,2.66297496556485e-06
"GUK1",4.64420857278866e-11,0.332059228524733,0.936,0.831,2.84323093034694e-06
"CRELD2",4.65097166186283e-11,0.453625560719447,0.56,0.356,2.84737136110904e-06
"UQCRC1",4.68631326769081e-11,0.397046894752524,0.805,0.631,2.86900784561299e-06
"GABARAPL1",4.73804018984536e-11,0.353447158313148,0.669,0.489,2.90067558462523e-06
"UQCR10",4.79479809364475e-11,-0.276162149656963,0.902,0.924,2.93542334091025e-06
"ADIPOR1",5.0764578367012e-11,0.382612952180712,0.833,0.747,3.10785825220684e-06
"SLC25A3",5.17046690268237e-11,0.425357893191509,0.918,0.876,3.16541154249117e-06
"CCDC47",5.34092300438838e-11,0.375555240523637,0.793,0.662,3.26976647251661e-06
"QDPR",5.41367187522669e-11,0.375126911625821,0.756,0.582,3.31430405873253e-06
"TUSC3",5.52630458575236e-11,0.359242757501496,0.913,0.858,3.38325893044345e-06
"NEDD8",5.87633584887016e-11,-0.386502609386576,0.874,0.884,3.5975515700368e-06
"PSMB1",6.3687904933302e-11,0.304525750840131,0.978,0.978,3.89903722792168e-06
"ILF2",6.44795244548189e-11,0.468012605890416,0.828,0.742,3.94750096664846e-06
"LGALS3BP",6.73354740548872e-11,0.412058433589832,0.857,0.773,4.12234505711425e-06
"ODC1",7.08912827292913e-11,0.327313150299955,0.645,0.449,4.34003521996994e-06
"STARD3NL",7.2009693308307e-11,0.407472667866136,0.666,0.507,4.40850543402786e-06
"PDS5B",7.54049353563184e-11,-0.471956160543682,0.516,0.724,4.61636554744917e-06
"CACYBP",8.28723268510297e-11,0.415990106331885,0.862,0.782,5.07352672214689e-06
"DEDD2",8.44509833257139e-11,0.323961967623809,0.528,0.311,5.17017365018353e-06
"SDHB",8.58513970009714e-11,0.38356243077747,0.806,0.689,5.25590837579647e-06
"SH3GL2",9.45391952840219e-11,0.357488386074977,0.699,0.507,5.7877840744831e-06
"SNRPA1",9.89817249185913e-11,0.429995366800363,0.636,0.476,6.05976018124108e-06
"KLHDC2",1.04702841873435e-10,0.326749301727757,0.624,0.427,6.41001268233355e-06
"MT-ND5",1.10293268137077e-10,0.352445913820061,0.999,1,6.75226416862e-06
"HIST1H4C",1.14088326196926e-10,-0.36222021828767,0.895,0.916,6.98460141810203e-06
"ZMAT3",1.17430223040841e-10,-0.424900874886836,0.372,0.582,7.18919568478335e-06
"GRIN2A",1.19371677521208e-10,-0.274270088023575,0.128,0.302,7.30805346952587e-06
"YIF1A",1.24250077439101e-10,0.282314768460772,0.756,0.618,7.60671399089919e-06
"SLC43A2",1.31143832895843e-10,-0.294224009765141,0.329,0.551,8.0287565937164e-06
"KDELR1",1.32597107894631e-10,0.273825793190557,0.857,0.791,8.11772754241723e-06
"PPP3CA",1.38740154167159e-10,-0.663067530219265,0.698,0.827,8.49381097826766e-06
"WDR45B",1.42946275572185e-10,0.359357749655579,0.693,0.533,8.75131393680473e-06
"SNRPN",1.83961226448656e-10,-0.279969289685406,0.93,0.924,1.12622902444131e-05
"TCTA",1.94420173964761e-10,0.430321327746953,0.616,0.462,1.19025974702967e-05
"RSL24D1",2.04077893441652e-10,0.268761248610561,0.779,0.658,1.24938527143914e-05
"EIF4B",2.16066939995096e-10,0.359901435895332,0.922,0.862,1.32278341334398e-05
"CYSTM1",2.22525001366302e-10,0.262661156365853,0.972,0.92,1.36232031086463e-05
"UBE2J1",2.25277588172739e-10,0.289534310934418,0.694,0.52,1.37917192255233e-05
"PSMC3",2.38287984411201e-10,0.376217477470667,0.801,0.64,1.45882286936381e-05
"TOR1AIP1",2.38857942340106e-10,0.381433692365077,0.653,0.493,1.46231220880036e-05
"GADD45A",2.4037434783675e-10,0.483411303126165,0.631,0.453,1.47159579489137e-05
"ETV1",2.50643289967402e-10,-0.417827218001608,0.368,0.591,1.53446328550943e-05
"WBP2",2.50883116046281e-10,0.277010999034171,0.706,0.547,1.53593152474694e-05
"SIVA1",2.75648681292699e-10,0.354868899278833,0.776,0.64,1.68754879174203e-05
"ARFIP2",2.85425981024882e-10,0.382318724319624,0.551,0.36,1.74740639843243e-05
"VAPA",2.97231322178545e-10,0.293260207969168,0.957,0.92,1.81967987750927e-05
"RPN1",3.14930354158183e-10,0.377377002518742,0.908,0.782,1.92803512119181e-05
"MAP1LC3B",3.67246047977293e-10,0.423404226982648,0.897,0.844,2.24831703032178e-05
"TBC1D15",4.0077438045925e-10,0.321148642752097,0.629,0.462,2.45358083460958e-05
"PSMD10",4.00890222216483e-10,0.384619004157871,0.694,0.489,2.45429002943153e-05
"STEAP2",4.12239745543431e-10,-0.356209516784936,0.378,0.604,2.52377294619144e-05
"CHCHD2",4.37196527197264e-10,0.334527125484468,0.968,0.947,2.67656085915437e-05
"FTH1",4.45647525183743e-10,0.376382527300056,0.979,0.876,2.72829871392739e-05
"YARS",4.7738723204851e-10,0.406509618707134,0.61,0.436,2.92261237332419e-05
"MTATP6P1",4.86411490434429e-10,-0.528431084306665,0.995,1,2.97785978558862e-05
"ENTPD3",4.90734093103396e-10,0.30986459256658,0.675,0.467,3.0043231913883e-05
"FAM114A1",5.23400511866508e-10,-0.439698432641129,0.411,0.622,3.20431027369795e-05
"PPP2R1A",5.2965268357148e-10,0.35409480087342,0.848,0.756,3.24258669409295e-05
"GLRX5",5.68551941558871e-10,0.287514471259631,0.575,0.378,3.48073184141756e-05
"RAB7A",5.72250187494233e-10,0.294329458472122,0.915,0.831,3.50337287285845e-05
"MUL1",5.72936428833476e-10,0.433835249428919,0.47,0.289,3.50757411096142e-05
"SRP68",5.89895248377118e-10,0.308908204595861,0.622,0.422,3.61139770008955e-05
"PLPP3",6.31756809468316e-10,-0.371092462895766,0.033,0.138,3.86767836324598e-05
"APLP1",6.51926404112951e-10,0.275751815181627,0.848,0.791,3.9911586386199e-05
"PEMT",6.54971317370843e-10,-0.477949225704369,0.751,0.858,4.00979990207604e-05
"ATRX",6.6658923841466e-10,-0.518682198904429,0.816,0.929,4.08092597649839e-05
"TMEM230",6.78551400760575e-10,0.365224856096449,0.866,0.791,4.15415953059631e-05
"CRIP2",7.06857165829947e-10,0.333540963476752,0.787,0.671,4.32745025492752e-05
"TBC1D24",7.24029722900403e-10,-0.541396094179575,0.397,0.582,4.43258236656856e-05
"PRNP",7.47323859441719e-10,0.421666690633958,0.823,0.707,4.57519139988815e-05
"NT5C3A",8.10087577602304e-10,0.320914424616238,0.6,0.431,4.95943715883906e-05
"BLOC1S2",8.42997024826703e-10,0.302085731420041,0.741,0.573,5.16091208569156e-05
"TMCO3",8.48423190038862e-10,0.318925773347799,0.76,0.636,5.19413161173692e-05
"VIM",8.70012392802181e-10,-0.501893777892688,0.111,0.262,5.32630286997423e-05
"INSR",9.02358562272696e-10,-0.297689201747417,0.546,0.764,5.52432935408967e-05
"ARID5B",9.49170110361116e-10,0.263046669575185,0.844,0.649,5.81091433264179e-05
"ARID2",9.66766632626655e-10,-0.497402826708875,0.413,0.609,5.91864200160365e-05
